doc_id,title,file_name,topic,path
DOC001,0_可重复使用新型航天飞行器结构设计,0_可重复使用新型航天飞行器结构设计.txt,结构设计,data/text/0_可重复使用新型航天飞行器结构设计.txt
DOC002,0_航天飞机空气动力学分析,0_航天飞机空气动力学分析.txt,气动设计,data/text/0_航天飞机空气动力学分析.txt
DOC003,1_飞行器气动设计 ,1_飞行器气动设计 .txt,气动设计,data/text/1_飞行器气动设计 .txt
DOC004,2018311055郭廷宇,2018311055郭廷宇.txt,综合,data/text/2018311055郭廷宇.txt
DOC005,2_飞行器结构设计 ,2_飞行器结构设计 .txt,结构设计,data/text/2_飞行器结构设计 .txt
DOC006,变体飞行器变形方式及气动布局设计关键技术研究进展_加水印,变体飞行器变形方式及气动布局设计关键技术研究进展_加水印.txt,变构飞行器,data/text/变体飞行器变形方式及气动布局设计关键技术研究进展_加水印.txt
DOC007,变构飞行器控制技术发展现状与展望,变构飞行器控制技术发展现状与展望.txt,变构飞行器,data/text/变构飞行器控制技术发展现状与展望.txt
DOC008,国防科技著作精品译丛  变体飞行器与结构_14229129,国防科技著作精品译丛  变体飞行器与结构_14229129.txt,变构飞行器,data/text/国防科技著作精品译丛  变体飞行器与结构_14229129.txt
DOC009,空天变构飞行技术研究现状与未来发展研判_刘思佳,空天变构飞行技术研究现状与未来发展研判_刘思佳.txt,变构飞行器,data/text/空天变构飞行技术研究现状与未来发展研判_刘思佳.txt
DOC010,航天器飞行动力学原理_肖业伦,航天器飞行动力学原理_肖业伦.txt,飞行动力学,data/text/航天器飞行动力学原理_肖业伦.txt
DOC011,航天飞行动力学,航天飞行动力学.txt,飞行动力学,data/text/航天飞行动力学.txt
DOC012,论文-CJA,论文-CJA.txt,综合,data/text/论文-CJA.txt
DOC013,跨域变构飞行器变形方案设计及气动特性分析_安英韬,跨域变构飞行器变形方案设计及气动特性分析_安英韬.txt,变构飞行器,data/text/跨域变构飞行器变形方案设计及气动特性分析_安英韬.txt
DOC014,跨域变构飞行器自学习模型预测姿态控制方法_贾正宇,跨域变构飞行器自学习模型预测姿态控制方法_贾正宇.txt,变构飞行器,data/text/跨域变构飞行器自学习模型预测姿态控制方法_贾正宇.txt
